# Temperatura_=_20.51
# Concentracion g/m^3_=_20500.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_311183.7954261577

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.190853e-06	-1.598665e-09	-1.979656e+01	-1.049275e+02
1.000000e-08	-2.190422e-06	-1.594044e-09	-1.979267e+01	-1.047749e+02
2.000000e-08	-2.189435e-06	-1.591049e-09	-1.978374e+01	-1.046120e+02
3.000000e-08	-2.187468e-06	-1.589911e-09	-1.976597e+01	-1.044675e+02
4.000000e-08	-2.184333e-06	-1.588061e-09	-1.973764e+01	-1.043490e+02
5.000000e-08	-2.180333e-06	-1.575821e-09	-1.970150e+01	-1.042397e+02
6.000000e-08	-2.175731e-06	-1.555851e-09	-1.965991e+01	-1.041033e+02
7.000000e-08	-2.170441e-06	-1.568004e-09	-1.961212e+01	-1.038977e+02
8.000000e-08	-2.164241e-06	-1.653066e-09	-1.955609e+01	-1.035898e+02
9.000000e-08	-2.157021e-06	-1.671721e-09	-1.949085e+01	-1.031688e+02
1.000000e-07	-2.148902e-06	-1.500450e-09	-1.941749e+01	-1.026499e+02
1.100000e-07	-2.140288e-06	-1.391769e-09	-1.933966e+01	-1.020697e+02
1.200000e-07	-2.131198e-06	-1.575235e-09	-1.925752e+01	-1.014733e+02
1.300000e-07	-2.120990e-06	-1.677432e-09	-1.916528e+01	-1.008984e+02
1.400000e-07	-2.109468e-06	-1.464129e-09	-1.906116e+01	-1.003629e+02
1.500000e-07	-2.097110e-06	-1.410426e-09	-1.894950e+01	-9.985991e+01
1.600000e-07	-2.084042e-06	-1.630991e-09	-1.883142e+01	-9.936226e+01
1.700000e-07	-2.070077e-06	-1.599219e-09	-1.870523e+01	-9.883418e+01
1.800000e-07	-2.055415e-06	-1.394816e-09	-1.857274e+01	-9.824560e+01
1.900000e-07	-2.040074e-06	-1.501756e-09	-1.843412e+01	-9.758322e+01
2.000000e-07	-2.023489e-06	-1.567628e-09	-1.828426e+01	-9.685425e+01
2.100000e-07	-2.005692e-06	-1.357969e-09	-1.812344e+01	-9.608151e+01
2.200000e-07	-1.987329e-06	-1.411530e-09	-1.795751e+01	-9.529234e+01
2.300000e-07	-1.968389e-06	-1.595706e-09	-1.778637e+01	-9.450589e+01
2.400000e-07	-1.948602e-06	-1.424003e-09	-1.760758e+01	-9.372415e+01
2.500000e-07	-1.928223e-06	-1.306346e-09	-1.742343e+01	-9.293028e+01
2.600000e-07	-1.907379e-06	-1.460363e-09	-1.723508e+01	-9.209483e+01
2.700000e-07	-1.885767e-06	-1.463098e-09	-1.703980e+01	-9.118728e+01
2.800000e-07	-1.863424e-06	-1.318479e-09	-1.683791e+01	-9.018807e+01
2.900000e-07	-1.840433e-06	-1.333113e-09	-1.663017e+01	-8.909648e+01
3.000000e-07	-1.816670e-06	-1.376094e-09	-1.641544e+01	-8.793114e+01
3.100000e-07	-1.792365e-06	-1.335111e-09	-1.619582e+01	-8.672318e+01
3.200000e-07	-1.767645e-06	-1.335380e-09	-1.597245e+01	-8.550486e+01
3.300000e-07	-1.742147e-06	-1.284612e-09	-1.574205e+01	-8.429825e+01
