# 260901_12:20:09.924852
t	CH1	CH2
0.000000e+00	-2.097196e-02	1.201000e+01
1.000000e-08	-1.738312e-02	1.196947e+01
2.000000e-08	-1.592224e-02	1.198892e+01
3.000000e-08	-1.782915e-02	1.191737e+01
4.000000e-08	-2.009121e-02	1.191834e+01
5.000000e-08	-1.982454e-02	1.194537e+01
6.000000e-08	-1.834791e-02	1.191571e+01
7.000000e-08	-1.899944e-02	1.188321e+01
8.000000e-08	-2.243956e-02	1.182208e+01
9.000000e-08	-2.088326e-02	1.179051e+01
1.000000e-07	-1.811265e-02	1.175889e+01
1.100000e-07	-1.803758e-02	1.168579e+01
1.200000e-07	-1.949912e-02	1.165415e+01
1.300000e-07	-2.155058e-02	1.157887e+01
1.400000e-07	-1.900792e-02	1.146569e+01
1.500000e-07	-1.925273e-02	1.140263e+01
1.600000e-07	-1.915887e-02	1.132837e+01
1.700000e-07	-2.252396e-02	1.128368e+01
1.800000e-07	-2.049963e-02	1.122092e+01
1.900000e-07	-2.035556e-02	1.107371e+01
2.000000e-07	-1.932308e-02	1.100063e+01
2.100000e-07	-2.044133e-02	1.087789e+01
2.200000e-07	-2.137835e-02	1.080260e+01
2.300000e-07	-1.870506e-02	1.074837e+01
2.400000e-07	-1.926111e-02	1.060413e+01
2.500000e-07	-1.994780e-02	1.048484e+01
2.600000e-07	-2.332291e-02	1.038145e+01
2.700000e-07	-2.090443e-02	1.022319e+01
2.800000e-07	-2.015014e-02	1.012690e+01
2.900000e-07	-1.851864e-02	1.002263e+01
3.000000e-07	-2.409821e-02	9.935787e+00
3.100000e-07	-2.279467e-02	9.758024e+00
3.200000e-07	-2.045338e-02	9.651498e+00
3.300000e-07	-1.829657e-02	9.454664e+00
3.400000e-07	-2.124735e-02	9.336895e+00
3.500000e-07	-2.272872e-02	9.222028e+00
3.600000e-07	-2.009337e-02	9.013658e+00
3.700000e-07	-1.801461e-02	8.885857e+00
3.800000e-07	-1.946560e-02	8.715866e+00
3.900000e-07	-2.101333e-02	8.579000e+00
4.000000e-07	-2.097871e-02	8.412550e+00
4.100000e-07	-1.773272e-02	8.264687e+00
4.200000e-07	-1.678642e-02	8.086762e+00
4.300000e-07	-1.753400e-02	7.893267e+00
4.400000e-07	-1.864243e-02	7.716394e+00
4.500000e-07	-1.721753e-02	7.519421e+00
4.600000e-07	-1.560565e-02	7.357846e+00
4.700000e-07	-1.555942e-02	7.127392e+00
4.800000e-07	-1.804035e-02	6.958998e+00
4.900000e-07	-1.590438e-02	6.800498e+00
5.000000e-07	-1.444505e-02	6.608542e+00
5.100000e-07	-1.374770e-02	6.360470e+00
5.200000e-07	-1.416470e-02	6.179500e+00
5.300000e-07	-1.424760e-02	6.001126e+00
5.400000e-07	-1.195454e-02	5.781551e+00
5.500000e-07	-1.169993e-02	5.598446e+00
5.600000e-07	-1.268577e-02	5.380496e+00
5.700000e-07	-1.367490e-02	5.105391e+00
5.800000e-07	-1.186639e-02	4.883209e+00
5.900000e-07	-1.063490e-02	4.665259e+00
6.000000e-07	-1.058068e-02	4.475159e+00
6.100000e-07	-1.065201e-02	4.213738e+00
6.200000e-07	-1.139933e-02	4.028048e+00
6.300000e-07	-9.545404e-03	3.810129e+00
6.400000e-07	-9.041553e-03	3.580679e+00
6.500000e-07	-1.004601e-02	3.379448e+00
6.600000e-07	-1.057647e-02	3.127919e+00
6.700000e-07	-9.450390e-03	2.916869e+00
6.800000e-07	-7.263893e-03	2.766942e+00
6.900000e-07	-7.900822e-03	2.494764e+00
7.000000e-07	-8.500223e-03	2.201708e+00
7.100000e-07	-7.350420e-03	2.012109e+00
7.200000e-07	-7.056616e-03	1.791679e+00
7.300000e-07	-6.615850e-03	1.598394e+00
7.400000e-07	-7.042366e-03	1.357412e+00
7.500000e-07	-7.039255e-03	1.095262e+00
7.600000e-07	-5.636979e-03	8.195976e-01
7.700000e-07	-5.904404e-03	6.190250e-01
7.800000e-07	-5.271154e-03	4.084975e-01
7.900000e-07	-5.465590e-03	1.508921e-01
8.000000e-07	-4.043532e-03	-1.136643e-01
8.100000e-07	5.352220e-03	-3.056380e-01
8.200000e-07	-2.528040e-03	-5.236620e-01
8.300000e-07	1.186105e-04	-7.274208e-01
8.400000e-07	-1.683744e-03	-9.663197e-01
8.500000e-07	-1.897796e-03	-1.136395e+00
8.600000e-07	-2.429751e-03	-1.400400e+00
8.700000e-07	2.196564e-03	-1.571028e+00
8.800000e-07	5.943299e-02	-1.799375e+00
8.900000e-07	6.340126e-02	-2.031428e+00
9.000000e-07	-6.304940e-02	-2.368848e+00
9.100000e-07	-1.656991e-02	-2.686740e+00
9.200000e-07	-4.835861e-02	-2.872108e+00
9.300000e-07	-9.182323e-02	-3.103157e+00
9.400000e-07	8.471188e-02	-3.169975e+00
9.500000e-07	5.236019e-02	-3.356820e+00
9.600000e-07	-1.249409e-01	-3.560004e+00
9.700000e-07	1.612182e-01	-3.790345e+00
9.800000e-07	-1.053728e-01	-4.031531e+00
9.900000e-07	-4.737025e-04	-4.284191e+00
1.000000e-06	7.623187e-02	-4.429526e+00
1.010000e-06	-1.579911e-01	-4.666038e+00
1.020000e-06	1.274313e-01	-4.896264e+00
1.030000e-06	-2.691397e-02	-5.065759e+00
1.040000e-06	1.260462e-02	-5.399300e+00
1.050000e-06	8.737286e-02	-5.559497e+00
1.060000e-06	-1.291461e-01	-5.820477e+00
1.070000e-06	8.151526e-02	-5.968476e+00
1.080000e-06	-5.148101e-02	-6.269455e+00
1.090000e-06	1.264402e-02	-6.441135e+00
1.100000e-06	5.689130e-02	-6.580501e+00
1.110000e-06	-8.189809e-02	-6.811602e+00
1.120000e-06	1.348303e-01	-7.040506e+00
1.130000e-06	-1.098174e-01	-7.232107e+00
1.140000e-06	5.592327e-02	-7.423106e+00
1.150000e-06	-1.744741e-02	-7.630376e+00
1.160000e-06	-2.289822e-02	-7.823610e+00
1.170000e-06	8.391385e-02	-8.010052e+00
1.180000e-06	-6.591082e-02	-8.180000e+00
1.190000e-06	7.167518e-02	-8.346292e+00
1.200000e-06	-6.493485e-02	-8.487142e+00
1.210000e-06	4.858005e-02	-8.724265e+00
1.220000e-06	-8.542982e-03	-8.872611e+00
1.230000e-06	-5.546473e-03	-9.021553e+00
1.240000e-06	2.952867e-02	-9.126366e+00
1.250000e-06	-2.941232e-02	-9.276687e+00
1.260000e-06	5.739370e-02	-9.443130e+00
1.270000e-06	-3.551792e-02	-9.607475e+00
1.280000e-06	3.042931e-02	-9.726316e+00
1.290000e-06	-2.025297e-02	-9.852684e+00
1.300000e-06	2.398694e-02	-9.999952e+00
1.310000e-06	5.642165e-03	-1.011827e+01
1.320000e-06	-9.439504e-04	-1.028313e+01
1.330000e-06	1.384933e-02	-1.039048e+01
1.340000e-06	-5.361021e-03	-1.050679e+01
1.350000e-06	3.117327e-02	-1.063048e+01
1.360000e-06	-1.363670e-02	-1.070532e+01
1.370000e-06	1.915361e-02	-1.084003e+01
1.380000e-06	-9.438723e-03	-1.090527e+01
1.390000e-06	2.091809e-02	-1.104053e+01
1.400000e-06	1.356479e-04	-1.113719e+01
1.410000e-06	7.709803e-03	-1.120056e+01
1.420000e-06	5.925052e-03	-1.132579e+01
1.430000e-06	9.818452e-03	-1.138955e+01
1.440000e-06	1.663630e-02	-1.146504e+01
1.450000e-06	2.969240e-04	-1.154844e+01
1.460000e-06	9.627788e-03	-1.162201e+01
1.470000e-06	2.458374e-03	-1.170619e+01
1.480000e-06	1.922452e-02	-1.173887e+01
1.490000e-06	6.041680e-03	-1.180253e+01
1.500000e-06	9.845402e-03	-1.187521e+01
1.510000e-06	3.258064e-03	-1.196574e+01
1.520000e-06	1.315264e-02	-1.197939e+01
1.530000e-06	1.024796e-02	-1.200200e+01
1.540000e-06	9.070270e-03	-1.205158e+01
1.550000e-06	9.240787e-03	-1.207373e+01
1.560000e-06	9.825813e-03	-1.210471e+01
1.570000e-06	1.488477e-02	-1.207776e+01
1.580000e-06	8.407509e-03	-1.210621e+01
1.590000e-06	7.111545e-03	-1.209732e+01
1.600000e-06	8.906439e-03	-1.210682e+01
1.610000e-06	1.281899e-02	-1.212577e+01
1.620000e-06	1.298745e-02	-1.209731e+01
1.630000e-06	1.119955e-02	-1.210534e+01
1.640000e-06	1.011440e-02	-1.206624e+01
1.650000e-06	1.329607e-02	-1.209366e+01
1.660000e-06	1.349400e-02	-1.206456e+01
1.670000e-06	1.174512e-02	-1.200105e+01
1.680000e-06	1.057882e-02	-1.196790e+01
1.690000e-06	1.244185e-02	-1.196982e+01
1.700000e-06	1.383747e-02	-1.190526e+01
1.710000e-06	1.339517e-02	-1.179201e+01
1.720000e-06	1.087282e-02	-1.175995e+01
