# 260901_12:12:24.409210
t	CH1	CH2
0.000000e+00	-2.172687e-02	1.473187e+01
1.000000e-08	-2.055331e-02	1.474092e+01
2.000000e-08	-2.855451e-02	1.475029e+01
3.000000e-08	-2.236875e-02	1.477134e+01
4.000000e-08	-2.411547e-02	1.478094e+01
5.000000e-08	-2.370619e-02	1.478045e+01
6.000000e-08	-2.739889e-02	1.476044e+01
7.000000e-08	-2.864330e-02	1.476786e+01
8.000000e-08	-2.416583e-02	1.472989e+01
9.000000e-08	-2.886260e-02	1.469878e+01
1.000000e-07	-2.996778e-02	1.465713e+01
1.100000e-07	-2.753932e-02	1.462405e+01
1.200000e-07	-2.589543e-02	1.458095e+01
1.300000e-07	-2.441806e-02	1.452886e+01
1.400000e-07	-2.810238e-02	1.451718e+01
1.500000e-07	-3.157334e-02	1.443210e+01
1.600000e-07	-2.990141e-02	1.432949e+01
1.700000e-07	-2.902757e-02	1.431723e+01
1.800000e-07	-2.863675e-02	1.415300e+01
1.900000e-07	-2.977301e-02	1.409766e+01
2.000000e-07	-3.111521e-02	1.398200e+01
2.100000e-07	-2.815644e-02	1.387715e+01
2.200000e-07	-3.126472e-02	1.380305e+01
2.300000e-07	-3.404723e-02	1.368623e+01
2.400000e-07	-3.626466e-02	1.360942e+01
2.500000e-07	-3.513659e-02	1.343613e+01
2.600000e-07	-3.391310e-02	1.331784e+01
2.700000e-07	-3.275202e-02	1.322147e+01
2.800000e-07	-3.477491e-02	1.309569e+01
2.900000e-07	-3.155866e-02	1.291841e+01
3.000000e-07	-3.326511e-02	1.279152e+01
3.100000e-07	-3.253750e-02	1.266316e+01
3.200000e-07	-3.553246e-02	1.252829e+01
3.300000e-07	-3.121639e-02	1.234934e+01
3.400000e-07	-3.064298e-02	1.219358e+01
3.500000e-07	-2.851554e-02	1.204208e+01
3.600000e-07	-2.834276e-02	1.186313e+01
3.700000e-07	-2.761869e-02	1.171621e+01
3.800000e-07	-2.666204e-02	1.149526e+01
3.900000e-07	-2.549457e-02	1.130576e+01
4.000000e-07	-2.488355e-02	1.107626e+01
4.100000e-07	-2.510069e-02	1.095037e+01
4.200000e-07	-2.304003e-02	1.073732e+01
4.300000e-07	-2.180201e-02	1.057039e+01
4.400000e-07	-1.922123e-02	1.032732e+01
4.500000e-07	-2.096428e-02	1.010634e+01
4.600000e-07	-1.858428e-02	9.927262e+00
4.700000e-07	-1.853412e-02	9.685035e+00
4.800000e-07	-1.637375e-02	9.445633e+00
4.900000e-07	-1.743488e-02	9.212209e+00
5.000000e-07	-1.650435e-02	9.021580e+00
5.100000e-07	-1.592148e-02	8.831075e+00
5.200000e-07	-1.619934e-02	8.558877e+00
5.300000e-07	-1.579213e-02	8.336841e+00
5.400000e-07	-1.484665e-02	8.097262e+00
5.500000e-07	-1.318070e-02	7.862558e+00
5.600000e-07	-1.292599e-02	7.609051e+00
5.700000e-07	-1.147274e-02	7.316871e+00
5.800000e-07	-1.224475e-02	7.054089e+00
5.900000e-07	-1.105641e-02	6.862554e+00
6.000000e-07	-1.316709e-02	6.578448e+00
6.100000e-07	-1.223654e-02	6.285763e+00
6.200000e-07	-1.098616e-02	6.033738e+00
6.300000e-07	-1.046273e-02	5.842108e+00
6.400000e-07	-9.647738e-03	5.567948e+00
6.500000e-07	-1.025838e-02	5.274716e+00
6.600000e-07	-8.686281e-03	4.905421e+00
6.700000e-07	-9.664702e-03	4.652584e+00
6.800000e-07	-8.744057e-03	4.419506e+00
6.900000e-07	-9.032180e-03	4.127793e+00
7.000000e-07	-9.308042e-03	3.862608e+00
7.100000e-07	-8.181567e-03	3.569505e+00
7.200000e-07	-7.473117e-03	3.354868e+00
7.300000e-07	-7.996746e-03	3.012105e+00
7.400000e-07	-7.624986e-03	2.798504e+00
7.500000e-07	-7.474172e-03	2.494167e+00
7.600000e-07	-6.581899e-03	2.167430e+00
7.700000e-07	-5.363913e-03	1.916396e+00
7.800000e-07	-6.084382e-03	1.630481e+00
7.900000e-07	-5.976884e-03	1.318372e+00
8.000000e-07	-7.334349e-03	1.049108e+00
8.100000e-07	-5.102727e-03	7.237419e-01
8.200000e-07	-6.121608e-03	4.416078e-01
8.300000e-07	-3.817117e-03	1.278257e-01
8.400000e-07	-2.327405e-03	-1.152871e-01
8.500000e-07	7.818463e-03	-3.488686e-01
8.600000e-07	-3.185280e-03	-6.542040e-01
8.700000e-07	2.727896e-03	-8.968358e-01
8.800000e-07	-3.429102e-03	-1.159439e+00
8.900000e-07	-8.801992e-04	-1.463834e+00
9.000000e-07	-3.303632e-03	-1.737287e+00
9.100000e-07	1.954416e-02	-1.926341e+00
9.200000e-07	7.506420e-02	-2.179966e+00
9.300000e-07	3.201311e-02	-2.560362e+00
9.400000e-07	-8.123622e-02	-2.970811e+00
9.500000e-07	7.543117e-03	-3.335156e+00
9.600000e-07	-4.829980e-02	-3.495733e+00
9.700000e-07	-5.544330e-02	-3.717229e+00
9.800000e-07	-3.360397e-02	-3.878366e+00
9.900000e-07	1.738347e-01	-4.095684e+00
1.000000e-06	-1.282306e-01	-4.380948e+00
1.010000e-06	9.636298e-02	-4.685756e+00
1.020000e-06	1.557862e-02	-4.899259e+00
1.030000e-06	-1.021930e-01	-5.255578e+00
1.040000e-06	1.392432e-01	-5.538257e+00
1.050000e-06	-1.805378e-01	-5.812020e+00
1.060000e-06	1.426730e-01	-6.056073e+00
1.070000e-06	-4.014385e-02	-6.327757e+00
1.080000e-06	3.519439e-03	-6.621525e+00
1.090000e-06	8.766745e-02	-6.863124e+00
1.100000e-06	-1.229240e-01	-7.190440e+00
1.110000e-06	1.084329e-01	-7.402441e+00
1.120000e-06	-1.128364e-01	-7.675159e+00
1.130000e-06	7.835434e-02	-7.950913e+00
1.140000e-06	7.903216e-03	-8.200915e+00
1.150000e-06	-4.397915e-02	-8.423524e+00
1.160000e-06	1.116044e-01	-8.656051e+00
1.170000e-06	-1.139650e-01	-8.938737e+00
1.180000e-06	9.217697e-02	-9.127812e+00
1.190000e-06	-7.963405e-02	-9.327888e+00
1.200000e-06	6.685664e-02	-9.602494e+00
1.210000e-06	-9.425553e-03	-9.791544e+00
1.220000e-06	1.558272e-03	-1.001205e+01
1.230000e-06	3.725768e-02	-1.022147e+01
1.240000e-06	-5.157979e-02	-1.046607e+01
1.250000e-06	7.078258e-02	-1.064297e+01
1.260000e-06	-6.354680e-02	-1.080415e+01
1.270000e-06	6.957064e-02	-1.102207e+01
1.280000e-06	-4.492689e-02	-1.123242e+01
1.290000e-06	5.423439e-02	-1.145302e+01
1.300000e-06	-2.172002e-02	-1.157197e+01
1.310000e-06	2.343432e-02	-1.179189e+01
1.320000e-06	-4.797709e-03	-1.196031e+01
1.330000e-06	1.455481e-03	-1.219091e+01
1.340000e-06	2.473945e-02	-1.231026e+01
1.350000e-06	-1.351870e-02	-1.244626e+01
1.360000e-06	3.493938e-02	-1.261260e+01
1.370000e-06	-1.867975e-02	-1.279195e+01
1.380000e-06	3.889257e-02	-1.293721e+01
1.390000e-06	-1.454494e-02	-1.308518e+01
1.400000e-06	2.863269e-02	-1.323140e+01
1.410000e-06	-1.111055e-02	-1.335881e+01
1.420000e-06	2.362753e-02	-1.346413e+01
1.430000e-06	1.558988e-03	-1.358176e+01
1.440000e-06	1.328122e-02	-1.369678e+01
1.450000e-06	8.881860e-03	-1.378047e+01
1.460000e-06	1.034678e-02	-1.392779e+01
1.470000e-06	1.816858e-02	-1.402297e+01
1.480000e-06	5.175346e-03	-1.413829e+01
1.490000e-06	1.742431e-02	-1.419194e+01
1.500000e-06	2.786293e-03	-1.429718e+01
1.510000e-06	2.227787e-02	-1.437134e+01
1.520000e-06	7.815256e-03	-1.443407e+01
1.530000e-06	1.990568e-02	-1.447726e+01
1.540000e-06	7.449407e-03	-1.454139e+01
1.550000e-06	1.630286e-02	-1.463250e+01
1.560000e-06	1.282631e-02	-1.464565e+01
1.570000e-06	1.692293e-02	-1.468673e+01
1.580000e-06	1.504821e-02	-1.471829e+01
1.590000e-06	1.704764e-02	-1.473034e+01
1.600000e-06	1.873391e-02	-1.479142e+01
1.610000e-06	1.602497e-02	-1.484145e+01
1.620000e-06	1.641674e-02	-1.483402e+01
1.630000e-06	1.384658e-02	-1.482250e+01
1.640000e-06	1.899333e-02	-1.485310e+01
1.650000e-06	1.884874e-02	-1.486358e+01
1.660000e-06	2.101721e-02	-1.482347e+01
1.670000e-06	1.969644e-02	-1.481245e+01
1.680000e-06	1.993917e-02	-1.478091e+01
1.690000e-06	1.969955e-02	-1.479929e+01
1.700000e-06	2.075922e-02	-1.473731e+01
1.710000e-06	1.968500e-02	-1.466768e+01
1.720000e-06	1.961019e-02	-1.461355e+01
1.730000e-06	2.225973e-02	-1.460207e+01
1.740000e-06	2.277621e-02	-1.452981e+01
1.750000e-06	2.151661e-02	-1.448609e+01
1.760000e-06	2.035913e-02	-1.440307e+01
1.770000e-06	2.027474e-02	-1.433881e+01
1.780000e-06	2.278277e-02	-1.426518e+01
1.790000e-06	2.329134e-02	-1.418047e+01
1.800000e-06	2.280496e-02	-1.408668e+01
1.810000e-06	2.319886e-02	-1.403097e+01
1.820000e-06	2.358777e-02	-1.389618e+01
1.830000e-06	2.588105e-02	-1.376192e+01
1.840000e-06	2.414581e-02	-1.367266e+01
1.850000e-06	2.528812e-02	-1.350831e+01
1.860000e-06	2.599519e-02	-1.344260e+01
1.870000e-06	2.771713e-02	-1.330823e+01
1.880000e-06	2.746000e-02	-1.318049e+01
1.890000e-06	2.620499e-02	-1.302198e+01
1.900000e-06	2.509918e-02	-1.291781e+01
1.910000e-06	2.464709e-02	-1.275034e+01
1.920000e-06	2.444984e-02	-1.264360e+01
1.930000e-06	2.324563e-02	-1.249524e+01
1.940000e-06	2.211508e-02	-1.230571e+01
1.950000e-06	2.188782e-02	-1.217784e+01
1.960000e-06	2.131483e-02	-1.194900e+01
1.970000e-06	1.958712e-02	-1.178350e+01
1.980000e-06	1.861253e-02	-1.166002e+01
1.990000e-06	1.799549e-02	-1.135990e+01
2.000000e-06	1.743154e-02	-1.120145e+01
2.010000e-06	1.551950e-02	-1.100000e+01
2.020000e-06	1.460364e-02	-1.079147e+01
2.030000e-06	1.206419e-02	-1.065358e+01
2.040000e-06	1.186968e-02	-1.044303e+01
2.050000e-06	1.066886e-02	-1.026143e+01
2.060000e-06	1.119126e-02	-1.004104e+01
2.070000e-06	9.529549e-03	-9.821022e+00
2.080000e-06	9.309952e-03	-9.570367e+00
2.090000e-06	8.950403e-03	-9.369995e+00
2.100000e-06	7.964891e-03	-9.137189e+00
2.110000e-06	6.916039e-03	-8.937264e+00
2.120000e-06	4.335369e-03	-8.684662e+00
2.130000e-06	4.193148e-03	-8.452029e+00
2.140000e-06	5.961009e-03	-8.201597e+00
2.150000e-06	6.306300e-03	-7.988819e+00
2.160000e-06	5.250458e-03	-7.745262e+00
2.170000e-06	2.167578e-03	-7.451628e+00
2.180000e-06	3.158607e-03	-7.210872e+00
2.190000e-06	3.991113e-03	-6.947842e+00
2.200000e-06	2.761062e-03	-6.683736e+00
2.210000e-06	9.373337e-04	-6.450504e+00
2.220000e-06	3.074433e-04	-6.197997e+00
2.230000e-06	1.900126e-03	-5.885288e+00
2.240000e-06	2.040236e-03	-5.641209e+00
2.250000e-06	-9.915038e-04	-5.349348e+00
2.260000e-06	-3.327142e-04	-5.093686e+00
2.270000e-06	4.137018e-04	-4.757392e+00
2.280000e-06	4.260437e-04	-4.514739e+00
2.290000e-06	-1.575932e-03	-4.242181e+00
2.300000e-06	-2.878175e-04	-4.010927e+00
2.310000e-06	-1.501768e-03	-3.723716e+00
2.320000e-06	-3.336553e-04	-3.432580e+00
2.330000e-06	-2.096165e-03	-3.168451e+00
2.340000e-06	-2.651469e-03	-2.861635e+00
2.350000e-06	-3.849384e-03	-2.601604e+00
2.360000e-06	-1.588487e-03	-2.354874e+00
2.370000e-06	-4.599337e-03	-2.032556e+00
2.380000e-06	-3.750908e-03	-1.806972e+00
2.390000e-06	-6.061649e-03	-1.484713e+00
2.400000e-06	-1.253276e-03	-1.137943e+00
2.410000e-06	-2.486031e-03	-8.631828e-01
2.420000e-06	-2.791235e-03	-6.268731e-01
2.430000e-06	-5.426437e-03	-2.947378e-01
2.440000e-06	-1.723876e-03	-4.163144e-02
2.450000e-06	6.700013e-03	2.646568e-01
2.460000e-06	-1.867524e-03	5.062871e-01
2.470000e-06	-3.941557e-05	8.090435e-01
2.480000e-06	2.424390e-04	1.005078e+00
2.490000e-06	2.703626e-04	1.327287e+00
2.500000e-06	-2.386003e-04	1.625699e+00
2.510000e-06	3.273081e-03	1.885134e+00
2.520000e-06	2.445069e-02	2.076187e+00
2.530000e-06	7.460678e-02	2.380391e+00
2.540000e-06	-5.168242e-03	2.738890e+00
2.550000e-06	-7.568915e-02	3.063075e+00
2.560000e-06	-2.020870e-02	3.286811e+00
2.570000e-06	-3.606967e-02	3.610969e+00
2.580000e-06	-4.519528e-02	3.800978e+00
2.590000e-06	-5.957550e-02	3.982046e+00
2.600000e-06	9.700597e-02	4.265229e+00
2.610000e-06	2.201939e-02	4.549396e+00
2.620000e-06	-6.524228e-02	4.761970e+00
2.630000e-06	1.431180e-01	5.068786e+00
2.640000e-06	-1.282776e-01	5.382600e+00
2.650000e-06	2.725009e-02	5.645604e+00
2.660000e-06	-2.825528e-02	5.990942e+00
2.670000e-06	-2.183232e-02	6.171995e+00
2.680000e-06	6.191368e-02	6.444628e+00
2.690000e-06	-6.479272e-02	6.737815e+00
2.700000e-06	5.893992e-02	6.960471e+00
2.710000e-06	-5.656517e-02	7.255128e+00
2.720000e-06	2.035742e-02	7.548331e+00
2.730000e-06	-3.890478e-02	7.803924e+00
2.740000e-06	-1.100872e-02	8.076654e+00
2.750000e-06	3.509659e-02	8.348810e+00
2.760000e-06	-4.342728e-02	8.527340e+00
2.770000e-06	3.326501e-02	8.738791e+00
2.780000e-06	-3.330931e-02	8.990442e+00
2.790000e-06	-1.142534e-02	9.222500e+00
2.800000e-06	-5.210503e-03	9.443074e+00
2.810000e-06	-7.859122e-03	9.633583e+00
2.820000e-06	4.237087e-03	9.886209e+00
2.830000e-06	-2.886669e-02	1.007626e+01
2.840000e-06	1.620974e-02	1.029708e+01
2.850000e-06	-2.787418e-02	1.046574e+01
2.860000e-06	2.689239e-03	1.068768e+01
2.870000e-06	-2.471847e-02	1.087618e+01
2.880000e-06	-7.558708e-03	1.106513e+01
2.890000e-06	-2.966767e-03	1.124416e+01
2.900000e-06	-9.107164e-03	1.146713e+01
2.910000e-06	-5.601580e-03	1.168720e+01
2.920000e-06	-2.251805e-02	1.187263e+01
2.930000e-06	-3.554421e-03	1.200455e+01
2.940000e-06	-1.854810e-02	1.220202e+01
2.950000e-06	-7.635695e-03	1.235079e+01
2.960000e-06	-2.093192e-02	1.251823e+01
2.970000e-06	-7.657383e-03	1.264518e+01
2.980000e-06	-8.451437e-03	1.275347e+01
2.990000e-06	-1.041736e-02	1.292931e+01
3.000000e-06	-1.754146e-02	1.306713e+01
3.010000e-06	-1.862211e-02	1.321307e+01
3.020000e-06	-1.286117e-02	1.331982e+01
3.030000e-06	-1.441028e-02	1.346608e+01
3.040000e-06	-1.675165e-02	1.355142e+01
3.050000e-06	-2.048387e-02	1.370718e+01
3.060000e-06	-1.380045e-02	1.378089e+01
3.070000e-06	-1.286389e-02	1.391983e+01
3.080000e-06	-1.520590e-02	1.399302e+01
3.090000e-06	-2.228923e-02	1.414871e+01
3.100000e-06	-1.731977e-02	1.420450e+01
3.110000e-06	-1.562275e-02	1.430771e+01
3.120000e-06	-1.493706e-02	1.436036e+01
3.130000e-06	-2.326577e-02	1.440655e+01
3.140000e-06	-2.133160e-02	1.448628e+01
3.150000e-06	-1.967900e-02	1.455939e+01
3.160000e-06	-1.771287e-02	1.460442e+01
3.170000e-06	-2.316072e-02	1.465410e+01
3.180000e-06	-2.592178e-02	1.469666e+01
3.190000e-06	-2.046738e-02	1.471728e+01
3.200000e-06	-1.832838e-02	1.470934e+01
3.210000e-06	-1.952034e-02	1.476194e+01
3.220000e-06	-2.697478e-02	1.480092e+01
3.230000e-06	-2.577251e-02	1.474037e+01
3.240000e-06	-2.446459e-02	1.479987e+01
3.250000e-06	-2.146601e-02	1.480097e+01
3.260000e-06	-2.706575e-02	1.477092e+01
3.270000e-06	-2.778162e-02	1.475994e+01
3.280000e-06	-2.531321e-02	1.474979e+01
3.290000e-06	-2.323319e-02	1.468844e+01
3.300000e-06	-2.732685e-02	1.469826e+01
3.310000e-06	-3.153789e-02	1.462420e+01
3.320000e-06	-2.910909e-02	1.457298e+01
3.330000e-06	-2.711703e-02	1.457142e+01
3.340000e-06	-2.577851e-02	1.452631e+01
3.350000e-06	-3.032842e-02	1.445508e+01
3.360000e-06	-3.010565e-02	1.439202e+01
3.370000e-06	-2.946965e-02	1.430683e+01
3.380000e-06	-2.691631e-02	1.422116e+01
3.390000e-06	-2.943739e-02	1.417992e+01
