# Temperatura_=_21.0
# Concentracion g/m^3_=_20500.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_311192.9163197064

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.200322e-06	-1.614763e-09	-1.979838e+01	-1.059865e+02
1.000000e-08	-2.200042e-06	-1.613198e-09	-1.979586e+01	-1.058406e+02
2.000000e-08	-2.199167e-06	-1.608537e-09	-1.978798e+01	-1.056570e+02
3.000000e-08	-2.197384e-06	-1.604968e-09	-1.977194e+01	-1.054745e+02
4.000000e-08	-2.194443e-06	-1.602747e-09	-1.974548e+01	-1.053200e+02
5.000000e-08	-2.190611e-06	-1.594192e-09	-1.971100e+01	-1.051972e+02
6.000000e-08	-2.186209e-06	-1.574288e-09	-1.967139e+01	-1.050844e+02
7.000000e-08	-2.181174e-06	-1.579741e-09	-1.962608e+01	-1.049420e+02
8.000000e-08	-2.175276e-06	-1.638601e-09	-1.957302e+01	-1.047262e+02
9.000000e-08	-2.168356e-06	-1.673674e-09	-1.951075e+01	-1.044052e+02
1.000000e-07	-2.160474e-06	-1.579365e-09	-1.943983e+01	-1.039699e+02
1.100000e-07	-2.151993e-06	-1.442411e-09	-1.936352e+01	-1.034367e+02
1.200000e-07	-2.143093e-06	-1.538972e-09	-1.928344e+01	-1.028398e+02
1.300000e-07	-2.133231e-06	-1.641369e-09	-1.919470e+01	-1.022174e+02
1.400000e-07	-2.121996e-06	-1.571598e-09	-1.909361e+01	-1.015978e+02
1.500000e-07	-2.109827e-06	-1.447275e-09	-1.898411e+01	-1.009896e+02
1.600000e-07	-2.097019e-06	-1.555065e-09	-1.886887e+01	-1.003815e+02
1.700000e-07	-2.083280e-06	-1.635484e-09	-1.874524e+01	-9.975071e+01
1.800000e-07	-2.068653e-06	-1.460166e-09	-1.861363e+01	-9.907494e+01
1.900000e-07	-2.053381e-06	-1.473100e-09	-1.847622e+01	-9.834463e+01
2.000000e-07	-2.037047e-06	-1.537540e-09	-1.832924e+01	-9.756813e+01
2.100000e-07	-2.019465e-06	-1.465931e-09	-1.817104e+01	-9.676832e+01
2.200000e-07	-2.001208e-06	-1.404668e-09	-1.800676e+01	-9.597211e+01
2.300000e-07	-1.982456e-06	-1.532419e-09	-1.783804e+01	-9.519714e+01
