# 260901_12:19:53.610170
t	CH1	CH2
0.000000e+00	-1.983838e-02	1.196997e+01
1.000000e-08	-1.841139e-02	1.196853e+01
2.000000e-08	-1.809779e-02	1.197800e+01
3.000000e-08	-1.830091e-02	1.194705e+01
4.000000e-08	-2.099341e-02	1.191894e+01
5.000000e-08	-1.936257e-02	1.191589e+01
6.000000e-08	-1.975365e-02	1.188478e+01
7.000000e-08	-1.958227e-02	1.184416e+01
8.000000e-08	-2.167869e-02	1.183113e+01
9.000000e-08	-2.045414e-02	1.177960e+01
1.000000e-07	-1.873051e-02	1.176800e+01
1.100000e-07	-1.893694e-02	1.169327e+01
1.200000e-07	-2.013580e-02	1.167213e+01
1.300000e-07	-2.195322e-02	1.159757e+01
1.400000e-07	-2.022846e-02	1.150381e+01
1.500000e-07	-2.060995e-02	1.144161e+01
1.600000e-07	-1.895519e-02	1.135632e+01
1.700000e-07	-2.094428e-02	1.128406e+01
1.800000e-07	-1.950312e-02	1.114997e+01
1.900000e-07	-1.924558e-02	1.106416e+01
2.000000e-07	-1.796967e-02	1.099953e+01
2.100000e-07	-1.878491e-02	1.091629e+01
2.200000e-07	-2.083000e-02	1.085256e+01
2.300000e-07	-2.024732e-02	1.075489e+01
2.400000e-07	-2.105429e-02	1.059106e+01
2.500000e-07	-1.947560e-02	1.052519e+01
2.600000e-07	-2.292698e-02	1.036945e+01
2.700000e-07	-1.846068e-02	1.024311e+01
2.800000e-07	-2.164845e-02	1.014842e+01
2.900000e-07	-1.654279e-02	1.005011e+01
3.000000e-07	-2.144032e-02	9.903812e+00
3.100000e-07	-1.971822e-02	9.726744e+00
3.200000e-07	-2.185326e-02	9.649901e+00
3.300000e-07	-1.983558e-02	9.493636e+00
3.400000e-07	-2.131684e-02	9.316316e+00
3.500000e-07	-1.967364e-02	9.211028e+00
3.600000e-07	-2.058115e-02	9.073086e+00
3.700000e-07	-1.909343e-02	8.865111e+00
3.800000e-07	-1.999497e-02	8.757116e+00
3.900000e-07	-1.954222e-02	8.559372e+00
4.000000e-07	-1.948602e-02	8.429055e+00
4.100000e-07	-1.943885e-02	8.283186e+00
4.200000e-07	-1.867592e-02	8.062661e+00
4.300000e-07	-1.847323e-02	7.914135e+00
4.400000e-07	-1.879276e-02	7.737269e+00
4.500000e-07	-1.988103e-02	7.536897e+00
