# 260901_12:12:11.315435
t	CH1	CH2
0.000000e+00	-1.911534e-02	1.480729e+01
1.000000e-08	-2.124616e-02	1.478987e+01
2.000000e-08	-2.512063e-02	1.477930e+01
3.000000e-08	-2.167521e-02	1.482035e+01
4.000000e-08	-2.158821e-02	1.480995e+01
5.000000e-08	-2.205767e-02	1.482042e+01
6.000000e-08	-2.366554e-02	1.478942e+01
7.000000e-08	-2.415165e-02	1.475837e+01
8.000000e-08	-2.253808e-02	1.478732e+01
9.000000e-08	-2.474648e-02	1.471571e+01
1.000000e-07	-2.629090e-02	1.462671e+01
1.100000e-07	-2.679346e-02	1.468251e+01
1.200000e-07	-2.510528e-02	1.462197e+01
1.300000e-07	-2.242671e-02	1.457679e+01
1.400000e-07	-2.457935e-02	1.457616e+01
1.500000e-07	-2.659789e-02	1.446250e+01
1.600000e-07	-2.700205e-02	1.436845e+01
1.700000e-07	-2.694795e-02	1.429569e+01
1.800000e-07	-2.252233e-02	1.421048e+01
1.900000e-07	-2.525572e-02	1.412567e+01
2.000000e-07	-2.380203e-02	1.405195e+01
2.100000e-07	-2.756045e-02	1.394579e+01
2.200000e-07	-2.470326e-02	1.379948e+01
2.300000e-07	-3.167955e-02	1.375419e+01
2.400000e-07	-2.711747e-02	1.360030e+01
2.500000e-07	-3.038528e-02	1.345418e+01
2.600000e-07	-2.493767e-02	1.339559e+01
2.700000e-07	-2.554437e-02	1.322046e+01
2.800000e-07	-2.750658e-02	1.307309e+01
2.900000e-07	-2.823887e-02	1.299785e+01
3.000000e-07	-3.240371e-02	1.282103e+01
3.100000e-07	-2.955896e-02	1.273171e+01
3.200000e-07	-3.312161e-02	1.255577e+01
3.300000e-07	-2.860815e-02	1.240885e+01
3.400000e-07	-2.980283e-02	1.228105e+01
3.500000e-07	-2.516288e-02	1.210214e+01
3.600000e-07	-2.758274e-02	1.189413e+01
3.700000e-07	-2.558566e-02	1.167456e+01
3.800000e-07	-2.966635e-02	1.154476e+01
3.900000e-07	-2.715328e-02	1.135366e+01
4.000000e-07	-2.677836e-02	1.114569e+01
4.100000e-07	-2.477816e-02	1.097634e+01
4.200000e-07	-2.583713e-02	1.078682e+01
4.300000e-07	-2.383180e-02	1.056632e+01
4.400000e-07	-2.129168e-02	1.037684e+01
4.500000e-07	-2.159551e-02	1.012532e+01
4.600000e-07	-1.978223e-02	9.963192e+00
4.700000e-07	-2.204979e-02	9.715636e+00
4.800000e-07	-1.971333e-02	9.444111e+00
4.900000e-07	-2.043751e-02	9.293537e+00
5.000000e-07	-2.019267e-02	9.061530e+00
5.100000e-07	-2.008105e-02	8.798899e+00
5.200000e-07	-1.803757e-02	8.587319e+00
5.300000e-07	-1.560163e-02	8.357345e+00
5.400000e-07	-1.466414e-02	8.143689e+00
5.500000e-07	-1.510704e-02	7.870582e+00
5.600000e-07	-1.460731e-02	7.640056e+00
5.700000e-07	-1.340079e-02	7.355267e+00
5.800000e-07	-1.426630e-02	7.082188e+00
5.900000e-07	-1.359468e-02	6.861009e+00
6.000000e-07	-1.435196e-02	6.598352e+00
6.100000e-07	-1.259865e-02	6.315766e+00
6.200000e-07	-1.154870e-02	6.102135e+00
6.300000e-07	-1.114321e-02	5.869076e+00
6.400000e-07	-1.089097e-02	5.594797e+00
6.500000e-07	-1.131961e-02	5.303113e+00
6.600000e-07	-9.876318e-03	4.963798e+00
6.700000e-07	-1.007197e-02	4.670187e+00
6.800000e-07	-9.895867e-03	4.438578e+00
6.900000e-07	-1.032553e-02	4.174266e+00
7.000000e-07	-8.941141e-03	3.852055e+00
7.100000e-07	-8.286101e-03	3.627455e+00
7.200000e-07	-8.593025e-03	3.323242e+00
7.300000e-07	-7.882181e-03	3.030579e+00
7.400000e-07	-8.681074e-03	2.787900e+00
7.500000e-07	-6.700288e-03	2.450661e+00
7.600000e-07	-7.811121e-03	2.197429e+00
7.700000e-07	-6.157387e-03	1.964341e+00
7.800000e-07	-6.353769e-03	1.609080e+00
7.900000e-07	-6.003964e-03	1.355821e+00
8.000000e-07	-6.006995e-03	1.018028e+00
8.100000e-07	-6.460912e-03	7.058156e-01
8.200000e-07	-6.571333e-03	4.716077e-01
8.300000e-07	-4.903647e-03	2.163961e-01
8.400000e-07	-2.391108e-03	-1.283372e-01
8.500000e-07	8.830116e-03	-3.598962e-01
8.600000e-07	-3.883226e-03	-6.536305e-01
8.700000e-07	3.625255e-03	-8.962595e-01
8.800000e-07	-3.105860e-03	-1.151000e+00
8.900000e-07	-6.834757e-04	-1.456182e+00
9.000000e-07	-4.173636e-03	-1.707792e+00
9.100000e-07	1.690824e-02	-1.928840e+00
9.200000e-07	7.940442e-02	-2.153042e+00
9.300000e-07	3.126513e-02	-2.539389e+00
9.400000e-07	-8.478778e-02	-2.930964e+00
9.500000e-07	9.618799e-03	-3.266661e+00
9.600000e-07	-5.062257e-02	-3.487185e+00
9.700000e-07	-5.386745e-02	-3.727209e+00
9.800000e-07	-4.256844e-02	-3.948917e+00
9.900000e-07	1.949564e-01	-4.107362e+00
1.000000e-06	-1.637819e-01	-4.413550e+00
1.010000e-06	1.242686e-01	-4.748158e+00
1.020000e-06	2.487558e-02	-4.898334e+00
1.030000e-06	-1.097580e-01	-5.305109e+00
1.040000e-06	1.539948e-01	-5.478365e+00
1.050000e-06	-1.998344e-01	-5.832573e+00
1.060000e-06	1.810883e-01	-6.044654e+00
1.070000e-06	-5.683276e-02	-6.289812e+00
1.080000e-06	5.377659e-03	-6.624102e+00
1.090000e-06	9.323431e-02	-6.854578e+00
1.100000e-06	-1.383459e-01	-7.171816e+00
1.110000e-06	1.248777e-01	-7.423477e+00
1.120000e-06	-1.303787e-01	-7.717234e+00
1.130000e-06	1.007239e-01	-7.990422e+00
1.140000e-06	-2.534961e-03	-8.201446e+00
1.150000e-06	-4.183798e-02	-8.423575e+00
1.160000e-06	1.172384e-01	-8.676225e+00
1.170000e-06	-1.316603e-01	-8.969814e+00
1.180000e-06	1.097820e-01	-9.128921e+00
1.190000e-06	-9.430078e-02	-9.400744e+00
1.200000e-06	8.161777e-02	-9.597972e+00
1.210000e-06	-2.295335e-02	-9.782398e+00
1.220000e-06	1.171029e-02	-1.001093e+01
1.230000e-06	3.415597e-02	-1.021448e+01
1.240000e-06	-5.081249e-02	-1.043550e+01
1.250000e-06	7.234590e-02	-1.063258e+01
1.260000e-06	-7.090072e-02	-1.083352e+01
1.270000e-06	7.836023e-02	-1.104299e+01
1.280000e-06	-5.550544e-02	-1.121455e+01
1.290000e-06	6.414507e-02	-1.143107e+01
1.300000e-06	-3.133225e-02	-1.160200e+01
1.310000e-06	3.333267e-02	-1.178050e+01
1.320000e-06	-8.964321e-03	-1.198232e+01
1.330000e-06	6.540149e-03	-1.217229e+01
1.340000e-06	1.958751e-02	-1.231733e+01
1.350000e-06	-1.259515e-02	-1.251563e+01
1.360000e-06	3.542309e-02	-1.263463e+01
1.370000e-06	-2.003528e-02	-1.279292e+01
1.380000e-06	3.977762e-02	-1.293824e+01
1.390000e-06	-1.840341e-02	-1.308626e+01
1.400000e-06	3.273181e-02	-1.322242e+01
1.410000e-06	-1.396333e-02	-1.334879e+01
1.420000e-06	2.653557e-02	-1.346358e+01
1.430000e-06	-2.748770e-03	-1.356135e+01
1.440000e-06	1.700893e-02	-1.375664e+01
1.450000e-06	6.908916e-03	-1.382342e+01
1.460000e-06	1.195003e-02	-1.394829e+01
1.470000e-06	1.472197e-02	-1.403148e+01
1.480000e-06	4.469615e-03	-1.411884e+01
1.490000e-06	1.590274e-02	-1.424055e+01
1.500000e-06	3.552000e-03	-1.429727e+01
1.510000e-06	2.214547e-02	-1.438040e+01
1.520000e-06	5.974103e-03	-1.448458e+01
1.530000e-06	1.955488e-02	-1.453716e+01
1.540000e-06	5.335932e-03	-1.459930e+01
1.550000e-06	1.647745e-02	-1.464305e+01
1.560000e-06	8.181364e-03	-1.471521e+01
1.570000e-06	1.475095e-02	-1.474518e+01
1.580000e-06	1.346850e-02	-1.476886e+01
1.590000e-06	1.819670e-02	-1.480890e+01
1.600000e-06	1.564122e-02	-1.482185e+01
1.610000e-06	1.243808e-02	-1.482295e+01
1.620000e-06	1.318459e-02	-1.483300e+01
1.630000e-06	1.309116e-02	-1.489243e+01
1.640000e-06	1.831035e-02	-1.483145e+01
1.650000e-06	1.516049e-02	-1.487148e+01
1.660000e-06	1.776199e-02	-1.483193e+01
1.670000e-06	1.744823e-02	-1.482198e+01
1.680000e-06	1.882965e-02	-1.482043e+01
1.690000e-06	1.637106e-02	-1.477930e+01
1.700000e-06	1.570505e-02	-1.477935e+01
1.710000e-06	1.720872e-02	-1.476579e+01
1.720000e-06	1.907202e-02	-1.468513e+01
1.730000e-06	1.929953e-02	-1.462048e+01
1.740000e-06	1.806403e-02	-1.458985e+01
1.750000e-06	1.776768e-02	-1.451411e+01
1.760000e-06	1.633283e-02	-1.444890e+01
1.770000e-06	1.756773e-02	-1.434885e+01
1.780000e-06	1.923261e-02	-1.426516e+01
1.790000e-06	1.936944e-02	-1.419985e+01
1.800000e-06	1.849075e-02	-1.414556e+01
1.810000e-06	1.980124e-02	-1.403088e+01
1.820000e-06	1.974248e-02	-1.388629e+01
1.830000e-06	1.911792e-02	-1.384045e+01
1.840000e-06	1.600833e-02	-1.370351e+01
1.850000e-06	1.892489e-02	-1.355737e+01
1.860000e-06	2.079471e-02	-1.345248e+01
1.870000e-06	2.259746e-02	-1.337521e+01
1.880000e-06	2.081750e-02	-1.318940e+01
1.890000e-06	2.033180e-02	-1.307213e+01
1.900000e-06	2.136493e-02	-1.291666e+01
1.910000e-06	2.156512e-02	-1.280987e+01
1.920000e-06	2.037000e-02	-1.265310e+01
1.930000e-06	1.965814e-02	-1.247408e+01
1.940000e-06	2.087647e-02	-1.235821e+01
1.950000e-06	2.184107e-02	-1.215732e+01
1.960000e-06	2.134980e-02	-1.197882e+01
1.970000e-06	1.848986e-02	-1.183103e+01
1.980000e-06	1.882060e-02	-1.161095e+01
1.990000e-06	1.913735e-02	-1.142678e+01
2.000000e-06	1.932668e-02	-1.121992e+01
2.010000e-06	1.698136e-02	-1.097797e+01
2.020000e-06	1.530969e-02	-1.083052e+01
2.030000e-06	1.515463e-02	-1.062958e+01
2.040000e-06	1.556240e-02	-1.046043e+01
2.050000e-06	1.338618e-02	-1.021952e+01
2.060000e-06	1.247950e-02	-9.989903e+00
2.070000e-06	1.264614e-02	-9.808976e+00
2.080000e-06	1.292903e-02	-9.598875e+00
2.090000e-06	1.186003e-02	-9.377371e+00
2.100000e-06	9.917777e-03	-9.157322e+00
2.110000e-06	8.458253e-03	-8.935842e+00
2.120000e-06	7.801273e-03	-8.723689e+00
2.130000e-06	8.767697e-03	-8.442607e+00
2.140000e-06	6.686808e-03	-8.250928e+00
2.150000e-06	6.189948e-03	-8.010449e+00
2.160000e-06	6.315607e-03	-7.714292e+00
2.170000e-06	5.775754e-03	-7.440605e+00
2.180000e-06	3.964530e-03	-7.190453e+00
2.190000e-06	3.787437e-03	-6.967743e+00
2.200000e-06	2.382863e-03	-6.703262e+00
2.210000e-06	3.843424e-03	-6.461059e+00
2.220000e-06	3.213719e-03	-6.198897e+00
2.230000e-06	2.769298e-03	-5.934242e+00
2.240000e-06	-5.348327e-04	-5.651634e+00
2.250000e-06	3.864609e-04	-5.367293e+00
2.260000e-06	2.445795e-03	-5.101639e+00
2.270000e-06	1.897234e-03	-4.777420e+00
2.280000e-06	-9.251179e-04	-4.482762e+00
2.290000e-06	-2.472144e-03	-4.282159e+00
2.300000e-06	1.747737e-04	-4.007957e+00
2.310000e-06	1.397188e-04	-3.724209e+00
2.320000e-06	-2.006191e-03	-3.440133e+00
2.330000e-06	-4.707486e-03	-3.178449e+00
2.340000e-06	-2.063744e-03	-2.881714e+00
2.350000e-06	-2.152369e-03	-2.618528e+00
2.360000e-06	-5.972290e-04	-2.364812e+00
2.370000e-06	-6.122564e-03	-2.050106e+00
2.380000e-06	-3.285377e-03	-1.753998e+00
2.390000e-06	-4.912188e-03	-1.501263e+00
2.400000e-06	-1.815616e-05	-1.136819e+00
2.410000e-06	-4.287673e-03	-8.921090e-01
2.420000e-06	-3.427093e-03	-5.954747e-01
2.430000e-06	-3.785363e-03	-2.827404e-01
2.440000e-06	5.570578e-04	-5.058007e-02
2.450000e-06	6.466020e-03	2.847069e-01
2.460000e-06	-2.324415e-03	5.168146e-01
2.470000e-06	8.934226e-04	7.489149e-01
2.480000e-06	1.159514e-03	1.032728e+00
2.490000e-06	4.268874e-04	1.317388e+00
2.500000e-06	-2.997537e-03	1.622579e+00
2.510000e-06	2.047542e-03	1.864679e+00
2.520000e-06	2.284726e-02	2.106235e+00
2.530000e-06	8.101547e-02	2.352443e+00
2.540000e-06	-6.810804e-03	2.758844e+00
2.550000e-06	-7.763387e-02	3.034030e+00
2.560000e-06	-1.848856e-02	3.296361e+00
2.570000e-06	-3.316423e-02	3.601496e+00
2.580000e-06	-4.353928e-02	3.822553e+00
2.590000e-06	-6.885042e-02	3.982528e+00
2.600000e-06	1.031815e-01	4.296232e+00
2.610000e-06	2.805553e-02	4.579940e+00
2.620000e-06	-7.987262e-02	4.793398e+00
2.630000e-06	1.625815e-01	5.118208e+00
2.640000e-06	-1.465174e-01	5.474549e+00
2.650000e-06	3.976374e-02	5.664156e+00
2.660000e-06	-3.434656e-02	5.979416e+00
2.670000e-06	-2.168399e-02	6.191449e+00
2.680000e-06	6.936120e-02	6.494556e+00
2.690000e-06	-7.890233e-02	6.730341e+00
2.700000e-06	7.049838e-02	6.970471e+00
2.710000e-06	-6.439374e-02	7.234602e+00
2.720000e-06	2.527534e-02	7.530290e+00
2.730000e-06	-4.339557e-02	7.792475e+00
2.740000e-06	-4.297424e-03	8.058756e+00
2.750000e-06	3.561775e-02	8.327710e+00
2.760000e-06	-4.702359e-02	8.538718e+00
2.770000e-06	4.020554e-02	8.768416e+00
2.780000e-06	-4.133668e-02	9.022945e+00
2.790000e-06	-9.598171e-03	9.232449e+00
2.800000e-06	-6.742707e-03	9.443000e+00
2.810000e-06	-7.319104e-03	9.673528e+00
2.820000e-06	2.599574e-03	9.886211e+00
2.830000e-06	-3.030896e-02	1.010716e+01
2.840000e-06	2.002797e-02	1.032521e+01
2.850000e-06	-3.080240e-02	1.050766e+01
2.860000e-06	4.935175e-03	1.070724e+01
2.870000e-06	-2.738365e-02	1.092813e+01
2.880000e-06	-5.438053e-03	1.106471e+01
2.890000e-06	-4.825662e-03	1.130411e+01
2.900000e-06	-1.017304e-02	1.151721e+01
2.910000e-06	-6.041601e-03	1.169505e+01
2.920000e-06	-2.102384e-02	1.192356e+01
2.930000e-06	-2.263190e-03	1.205251e+01
2.940000e-06	-2.003732e-02	1.222089e+01
2.950000e-06	-7.421719e-03	1.235932e+01
2.960000e-06	-2.175532e-02	1.252661e+01
2.970000e-06	-5.251900e-03	1.266410e+01
2.980000e-06	-9.905054e-03	1.282993e+01
2.990000e-06	-1.022002e-02	1.296029e+01
3.000000e-06	-1.795958e-02	1.308629e+01
3.010000e-06	-1.638253e-02	1.324150e+01
3.020000e-06	-1.275790e-02	1.337979e+01
3.030000e-06	-1.353903e-02	1.351316e+01
