# Temperatura_=_36.08
# Concentracion g/m^3_=_20500.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_312025.6367236239

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.435584e-06	-1.040439e-08	-5.681854e+01	-6.814512e+02
1.000000e-08	-7.432453e-06	-1.040954e-08	-5.679462e+01	-6.814802e+02
2.000000e-08	-7.426724e-06	-1.040822e-08	-5.675084e+01	-6.813505e+02
3.000000e-08	-7.418537e-06	-1.040275e-08	-5.668828e+01	-6.810541e+02
4.000000e-08	-7.407636e-06	-1.039651e-08	-5.660498e+01	-6.805899e+02
5.000000e-08	-7.393867e-06	-1.038662e-08	-5.649977e+01	-6.799658e+02
6.000000e-08	-7.377248e-06	-1.037233e-08	-5.637277e+01	-6.791986e+02
7.000000e-08	-7.358126e-06	-1.035553e-08	-5.622665e+01	-6.783109e+02
8.000000e-08	-7.336639e-06	-1.032708e-08	-5.606246e+01	-6.773259e+02
9.000000e-08	-7.312302e-06	-1.037003e-08	-5.587649e+01	-6.762608e+02
1.000000e-07	-7.284698e-06	-1.038430e-08	-5.566556e+01	-6.751219e+02
1.100000e-07	-7.254089e-06	-1.031458e-08	-5.543165e+01	-6.739024e+02
1.200000e-07	-7.220750e-06	-1.027893e-08	-5.517690e+01	-6.725846e+02
1.300000e-07	-7.184764e-06	-1.026048e-08	-5.490191e+01	-6.711466e+02
1.400000e-07	-7.146490e-06	-1.021912e-08	-5.460945e+01	-6.695713e+02
1.500000e-07	-7.106032e-06	-1.010617e-08	-5.430029e+01	-6.678545e+02
1.600000e-07	-7.063024e-06	-1.016830e-08	-5.397165e+01	-6.660093e+02
1.700000e-07	-7.017305e-06	-1.017987e-08	-5.362229e+01	-6.640641e+02
1.800000e-07	-6.969049e-06	-1.006397e-08	-5.325354e+01	-6.620552e+02
1.900000e-07	-6.917896e-06	-1.014628e-08	-5.286266e+01	-6.600145e+02
2.000000e-07	-6.863774e-06	-1.005132e-08	-5.244909e+01	-6.579579e+02
2.100000e-07	-6.806969e-06	-9.980326e-09	-5.201502e+01	-6.558770e+02
2.200000e-07	-6.747409e-06	-9.959648e-09	-5.155989e+01	-6.537387e+02
2.300000e-07	-6.685297e-06	-9.882505e-09	-5.108527e+01	-6.514917e+02
2.400000e-07	-6.620614e-06	-9.904448e-09	-5.059100e+01	-6.490793e+02
2.500000e-07	-6.553257e-06	-9.820710e-09	-5.007630e+01	-6.464540e+02
2.600000e-07	-6.483378e-06	-9.807573e-09	-4.954232e+01	-6.435887e+02
2.700000e-07	-6.410888e-06	-9.749970e-09	-4.898839e+01	-6.404825e+02
2.800000e-07	-6.335706e-06	-9.691309e-09	-4.841389e+01	-6.371570e+02
2.900000e-07	-6.257782e-06	-9.633784e-09	-4.781844e+01	-6.336469e+02
3.000000e-07	-6.177164e-06	-9.545587e-09	-4.720241e+01	-6.299880e+02
3.100000e-07	-6.094113e-06	-9.544514e-09	-4.656778e+01	-6.262053e+02
3.200000e-07	-6.008899e-06	-9.463028e-09	-4.591662e+01	-6.223074e+02
3.300000e-07	-5.921543e-06	-9.426807e-09	-4.524910e+01	-6.182863e+02
3.400000e-07	-5.831896e-06	-9.359986e-09	-4.456406e+01	-6.141241e+02
