# 260826_12:11:28.188934
t	CH1	CH2
0.000000e+00	-3.605803e-02	1.007564e+01
1.000000e-08	-4.084509e-02	1.005356e+01
2.000000e-08	-4.397478e-02	9.970904e+00
3.000000e-08	-4.381539e-02	9.898270e+00
4.000000e-08	-4.232017e-02	9.824009e+00
5.000000e-08	-4.544587e-02	9.790380e+00
6.000000e-08	-5.189527e-02	9.656620e+00
7.000000e-08	-5.072127e-02	9.609435e+00
8.000000e-08	-4.952309e-02	9.527718e+00
9.000000e-08	-4.936303e-02	9.423510e+00
1.000000e-07	-5.289055e-02	9.349850e+00
1.100000e-07	-5.506969e-02	9.286692e+00
1.200000e-07	-5.243628e-02	9.201509e+00
1.300000e-07	-4.750093e-02	9.138201e+00
1.400000e-07	-4.654110e-02	9.002934e+00
1.500000e-07	-4.583561e-02	8.908196e+00
1.600000e-07	-4.497019e-02	8.770327e+00
1.700000e-07	-3.996124e-02	8.666695e+00
1.800000e-07	-3.638798e-02	8.570832e+00
1.900000e-07	-3.590680e-02	8.465116e+00
2.000000e-07	-3.565142e-02	8.391406e+00
2.100000e-07	-3.289690e-02	8.225121e+00
2.200000e-07	-2.712468e-02	8.118820e+00
2.300000e-07	-2.589051e-02	8.012510e+00
2.400000e-07	-2.681678e-02	7.867067e+00
2.500000e-07	-2.709417e-02	7.779905e+00
2.600000e-07	-2.484943e-02	7.621509e+00
2.700000e-07	-2.191168e-02	7.443638e+00
2.800000e-07	-2.209957e-02	7.298648e+00
2.900000e-07	-2.210805e-02	7.098303e+00
3.000000e-07	-2.140487e-02	6.971982e+00
3.100000e-07	-1.765699e-02	6.824088e+00
3.200000e-07	-1.794478e-02	6.727771e+00
3.300000e-07	-1.819135e-02	6.517675e+00
3.400000e-07	-1.899013e-02	6.350906e+00
3.500000e-07	-1.676579e-02	6.222057e+00
3.600000e-07	-1.436999e-02	6.064661e+00
3.700000e-07	-1.528119e-02	5.916851e+00
3.800000e-07	-1.639824e-02	5.708350e+00
3.900000e-07	-1.592389e-02	5.541454e+00
4.000000e-07	-1.329579e-02	5.391007e+00
4.100000e-07	-1.279430e-02	5.173986e+00
4.200000e-07	-1.358890e-02	4.972039e+00
4.300000e-07	-1.368402e-02	4.782029e+00
4.400000e-07	-1.127920e-02	4.593985e+00
4.500000e-07	-1.087428e-02	4.435114e+00
4.600000e-07	-1.157092e-02	4.287372e+00
4.700000e-07	-1.246676e-02	4.044687e+00
4.800000e-07	-1.187453e-02	3.878671e+00
4.900000e-07	-1.083764e-02	3.697247e+00
5.000000e-07	-1.023888e-02	3.560426e+00
5.100000e-07	-1.105268e-02	3.338380e+00
5.200000e-07	-1.014430e-02	3.168374e+00
5.300000e-07	-8.370057e-03	2.959983e+00
5.400000e-07	-8.500223e-03	2.811555e+00
