# Temperatura_=_45.45
# Concentracion g/m^3_=_18600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_310745.71750557463

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.947287e-06	-1.818765e-08	-5.692839e+01	-1.192919e+03
1.000000e-08	-7.943049e-06	-1.819265e-08	-5.689803e+01	-1.192676e+03
2.000000e-08	-7.936133e-06	-1.818974e-08	-5.684849e+01	-1.192314e+03
3.000000e-08	-7.926400e-06	-1.818211e-08	-5.677877e+01	-1.191826e+03
4.000000e-08	-7.913674e-06	-1.816856e-08	-5.668761e+01	-1.191199e+03
5.000000e-08	-7.897970e-06	-1.815208e-08	-5.657512e+01	-1.190416e+03
6.000000e-08	-7.879426e-06	-1.813267e-08	-5.644229e+01	-1.189466e+03
7.000000e-08	-7.858411e-06	-1.811920e-08	-5.629174e+01	-1.188347e+03
8.000000e-08	-7.834658e-06	-1.816516e-08	-5.612160e+01	-1.187066e+03
9.000000e-08	-7.807527e-06	-1.817614e-08	-5.592726e+01	-1.185637e+03
1.000000e-07	-7.777055e-06	-1.810493e-08	-5.570897e+01	-1.184082e+03
1.100000e-07	-7.743537e-06	-1.805656e-08	-5.546888e+01	-1.182418e+03
1.200000e-07	-7.707171e-06	-1.803552e-08	-5.520838e+01	-1.180668e+03
1.300000e-07	-7.668338e-06	-1.798936e-08	-5.493021e+01	-1.178850e+03
1.400000e-07	-7.627159e-06	-1.789495e-08	-5.463523e+01	-1.176983e+03
1.500000e-07	-7.583359e-06	-1.792155e-08	-5.432148e+01	-1.175084e+03
1.600000e-07	-7.536650e-06	-1.791969e-08	-5.398689e+01	-1.173161e+03
1.700000e-07	-7.487017e-06	-1.784008e-08	-5.363136e+01	-1.171213e+03
1.800000e-07	-7.434418e-06	-1.786931e-08	-5.325458e+01	-1.169220e+03
1.900000e-07	-7.378813e-06	-1.779164e-08	-5.285627e+01	-1.167143e+03
2.000000e-07	-7.320391e-06	-1.772569e-08	-5.243778e+01	-1.164931e+03
2.100000e-07	-7.259210e-06	-1.768601e-08	-5.199952e+01	-1.162521e+03
2.200000e-07	-7.195229e-06	-1.762500e-08	-5.154121e+01	-1.159860e+03
2.300000e-07	-7.128370e-06	-1.762044e-08	-5.106228e+01	-1.156909e+03
2.400000e-07	-7.058685e-06	-1.754715e-08	-5.056312e+01	-1.153649e+03
2.500000e-07	-6.986242e-06	-1.749244e-08	-5.004418e+01	-1.150089e+03
2.600000e-07	-6.910859e-06	-1.743488e-08	-4.950420e+01	-1.146252e+03
2.700000e-07	-6.832540e-06	-1.737234e-08	-4.894318e+01	-1.142167e+03
2.800000e-07	-6.751403e-06	-1.727849e-08	-4.836197e+01	-1.137860e+03
2.900000e-07	-6.667693e-06	-1.719698e-08	-4.776234e+01	-1.133343e+03
3.000000e-07	-6.581604e-06	-1.716874e-08	-4.714566e+01	-1.128617e+03
3.100000e-07	-6.493052e-06	-1.709068e-08	-4.651135e+01	-1.123672e+03
3.200000e-07	-6.401993e-06	-1.703565e-08	-4.585906e+01	-1.118499e+03
3.300000e-07	-6.308505e-06	-1.695192e-08	-4.518939e+01	-1.113094e+03
3.400000e-07	-6.212637e-06	-1.683993e-08	-4.450266e+01	-1.107464e+03
3.500000e-07	-6.114347e-06	-1.673934e-08	-4.379859e+01	-1.101626e+03
3.600000e-07	-6.013717e-06	-1.664256e-08	-4.307775e+01	-1.095600e+03
3.700000e-07	-5.910801e-06	-1.655028e-08	-4.234053e+01	-1.089398e+03
3.800000e-07	-5.805556e-06	-1.645750e-08	-4.158664e+01	-1.083023e+03
3.900000e-07	-5.698038e-06	-1.639213e-08	-4.081646e+01	-1.076461e+03
4.000000e-07	-5.588439e-06	-1.630782e-08	-4.003138e+01	-1.069686e+03
4.100000e-07	-5.476767e-06	-1.620096e-08	-3.923144e+01	-1.062669e+03
4.200000e-07	-5.362910e-06	-1.606813e-08	-3.841585e+01	-1.055380e+03
4.300000e-07	-5.246854e-06	-1.593035e-08	-3.758452e+01	-1.047802e+03
4.400000e-07	-5.128621e-06	-1.580196e-08	-3.673759e+01	-1.039928e+03
4.500000e-07	-5.008355e-06	-1.568416e-08	-3.587609e+01	-1.031761e+03
4.600000e-07	-4.886208e-06	-1.557091e-08	-3.500112e+01	-1.023306e+03
4.700000e-07	-4.762218e-06	-1.545350e-08	-3.411295e+01	-1.014569e+03
4.800000e-07	-4.636419e-06	-1.533196e-08	-3.321182e+01	-1.005545e+03
4.900000e-07	-4.508845e-06	-1.519175e-08	-3.229797e+01	-9.962242e+02
5.000000e-07	-4.379505e-06	-1.503272e-08	-3.137148e+01	-9.865913e+02
5.100000e-07	-4.248423e-06	-1.485933e-08	-3.043251e+01	-9.766304e+02
5.200000e-07	-4.115696e-06	-1.469777e-08	-2.948175e+01	-9.663294e+02
5.300000e-07	-3.981373e-06	-1.454421e-08	-2.851956e+01	-9.556810e+02
5.400000e-07	-3.845502e-06	-1.439245e-08	-2.754628e+01	-9.446823e+02
5.500000e-07	-3.708167e-06	-1.423112e-08	-2.656252e+01	-9.333304e+02
5.600000e-07	-3.569351e-06	-1.405648e-08	-2.556815e+01	-9.216187e+02
5.700000e-07	-3.428983e-06	-1.387285e-08	-2.456265e+01	-9.095337e+02
5.800000e-07	-3.287048e-06	-1.367861e-08	-2.354594e+01	-8.970545e+02
